timestamp,username,action,details
2025-12-12 16:25:00,User,LOGOUT,User logged out
2025-12-12 16:25:22,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:26:57,User,LOGOUT,User logged out
2025-12-12 16:27:28,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:31:44,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:35:04,user,LOGIN_FAILED,Failed login attempt
2025-12-12 16:35:06,user,LOGIN_FAILED,Failed login attempt
2025-12-12 16:35:12,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:38:34,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:40:54,User,LOGOUT,User logged out
2025-12-12 16:43:28,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:44:24,User,LOGOUT,User logged out
2025-12-12 16:46:18,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:46:46,User,LOGOUT,User logged out
2025-12-12 16:46:56,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:47:47,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:47:58,User,LOGOUT,User logged out
2025-12-12 16:48:57,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:53:16,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:53:41,User,LOGOUT,User logged out
2025-12-13 00:21:51,user,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:25:55,user,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:31:41,user,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:32:29,user,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:34:13,User,LOGOUT,User logged out
2025-12-13 00:34:21,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:40:23,user,LOGIN_SUCCESS,User logged in successfully
2025-12-13 00:41:04,User,LOGOUT,User logged out
2025-12-13 00:41:11,admin,LOGIN_FAILED,Failed login attempt
2025-12-13 00:41:17,admin,LOGIN_SUCCESS,User logged in successfully
